ICD,Flag,ICDString,CCSCode,CCSString
E11,10,Type 2 diabetes mellitus,50,Diabetes mellitus with complications
F69,10,Unspecified disorder of adult personality and behavior,658,Personality disorders
K51,10,Ulcerative colitis,144,Regional enteritis and ulcerative colitis
T79,10,"Certain early complications of trauma, not elsewhere classified",244,Other injuries and conditions due to external causes
C91,10,Lymphoid leukemia,39,Leukemias
K04,10,Diseases of pulp and periapical tissues,136,Disorders of teeth and jaw
Q30,10,Congenital malformations of nose,217,Other congenital anomalies
Q10,10,"Congenital malformations of eyelid, lacrimal apparatus and orbit",217,Other congenital anomalies
Q16,10,Congenital malformations of ear causing impairment of hearing,217,Other congenital anomalies
Q18,10,Other congenital malformations of face and neck,217,Other congenital anomalies
Q17,10,Other congenital malformations of ear,217,Other congenital anomalies
S72,10,Fracture of femur,226,Fracture of neck of femur (hip)
I05,10,Rheumatic mitral valve diseases,96,Heart valve disorders
I80,10,Phlebitis and thrombophlebitis,118,Phlebitis; thrombophlebitis and thromboembolism
N35,10,Urethral stricture,159,Urinary tract infections
T55,10,Toxic effect of soaps and detergents,243,Poisoning by nonmedicinal substances
T60,10,Toxic effect of pesticides,243,Poisoning by nonmedicinal substances
T65,10,Toxic effect of other and unspecified substances,243,Poisoning by nonmedicinal substances
T64,10,Toxic effect of aflatoxin and other mycotoxin food contaminants,243,Poisoning by nonmedicinal substances
G61,10,Inflammatory polyneuropathy,95,Other nervous system disorders
G65,10,Sequelae of inflammatory and toxic polyneuropathies,95,Other nervous system disorders
G63,10,Polyneuropathy in diseases classified elsewhere,95,Other nervous system disorders
G64,10,Other disorders of peripheral nervous system,95,Other nervous system disorders
R15,10,Fecal incontinence,155,Other gastrointestinal disorders
O03,10,Spontaneous abortion,177,Spontaneous abortion
O02,10,Other abnormal products of conception,181,Other complications of pregnancy
H55,10,Nystagmus and other irregular eye movements,91,Other eye disorders
S52,10,Fracture of forearm,229,Fracture of upper limb
W55,10,Contact with other mammals,2611,E Codes: Natural/environment
S40,10,Superficial injury of shoulder and upper arm,239,Superficial injury; contusion
S00,10,Superficial injury of head,239,Superficial injury; contusion
D29,10,Benign neoplasm of male genital organs,47,Other and unspecified benign neoplasm
E54,10,Ascorbic acid deficiency,52,Nutritional deficiencies
F01,10,Vascular dementia,653,Delirium
L97,10,"Non-pressure chronic ulcer of lower limb, not elsewhere classified",199,Chronic ulcer of skin
D10,10,Benign neoplasm of mouth and pharynx,47,Other and unspecified benign neoplasm
D11,10,Benign neoplasm of major salivary glands,47,Other and unspecified benign neoplasm
M46,10,Other inflammatory spondylopathies,205,Spondylosis; intervertebral disc disorders; other back problems
M49,10,Spondylopathies in diseases classified elsewhere,205,Spondylosis; intervertebral disc disorders; other back problems
Q98,10,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified",217,Other congenital anomalies
Q91,10,Trisomy 18 and Trisomy 13,217,Other congenital anomalies
Q92,10,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified",217,Other congenital anomalies
Q90,10,Down syndrome,217,Other congenital anomalies
Q96,10,Turners syndrome,217,Other congenital anomalies
Q95,10,"Balanced rearrangements and structural markers, not elsewhere classified",217,Other congenital anomalies
Q97,10,"Other sex chromosome abnormalities, female phenotype, not elsewhere classified",217,Other congenital anomalies
Q93,10,"Monosomies and deletions from the autosomes, not elsewhere classified",217,Other congenital anomalies
R55,10,Syncope and collapse,245,Syncope
T52,10,Toxic effect of organic solvents,243,Poisoning by nonmedicinal substances
T51,10,Toxic effect of alcohol,243,Poisoning by nonmedicinal substances
